claim_id,section,bucket,claim,source,verification,note,support_type,public_status,display_rank,headline_rank,subgroup,source_tier,public_claim,review_note,date_sensitive,last_reviewed
E1-17,Profitability,Climate-reframed,USDA climate-smart commodity funding: $2.8B committed,"USDA Partnerships for Climate-Smart Commodities, 2023–2024",USDA program summary and award announcements,Approved public row synchronized to the current carbon-credit revenue panel.,direct,approved,17,,Market / Program Signals,institutional,USDA climate-smart commodity funding: $2.8B committed,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-18,Profitability,Climate-reframed,Urnuh: $425/acre income increase over 6 years,TCData 2025,"Daniel Urnuh, CA case study",Removed from public-facing materials during synchronization; retained only as internal supporting context.,direct,internal-only,18,,Field Case Evidence,institutional,Urnuh: $425/acre income increase over 6 years,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E1-19,Profitability,Climate-reframed,"ROI: Yr 1–3=30%, Yr 2–5=62%, Yr 3–8=88%, Yr 10+=100%",SHI; LaCanne; Rodale composite,Composite timeline,Removed from public-facing materials during synchronization; the public site now uses stage labels instead of unsupported percentage milestones.,derived,internal-only,19,,Field Case Evidence,derived,"ROI: Yr 1–3=30%, Yr 2–5=62%, Yr 3–8=88%, Yr 10+=100%",Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
E1-N01,Profitability,New climate-support,Nitrous oxide has 273x the 100-year warming power of CO2.,IPCC AR6,AR6 WG1 global warming potential values,Direct source claim used to connect fertilizer dependence to climate cost.,direct,approved,20,,Climate Cost Framing,institutional,Nitrous oxide has 273x the 100-year warming power of CO2.,Institutional-source claim cleared for public review.,no,2026-04-02
E1-N02,Profitability,New climate-support,Every dollar of reduced synthetic fertilizer is also a climate metric because lower nitrogen use reduces N2O exposure.,IPCC AR6; UNEP Global Nitrous Oxide Assessment 2024,Interpretive synthesis from N2O warming potential and fertilizer emissions literature,Messaging interpretation grounded in source data.,interpretation,approved,21,,Climate Cost Framing,interpretive,Every dollar of reduced synthetic fertilizer is also a climate metric because lower nitrogen use reduces N2O exposure.,Interpretive reviewer framing grounded in the cited evidence base. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-01,Case Studies,Unchanged,Brown’s Ranch: SOM 1.9% to 6.1% (+221%),Gabe Brown / NRCS case study,NRCS documentation,Existing site claim carried forward into the revised register.,direct,approved,1,1,Brown's Ranch,institutional,Brown’s Ranch: SOM 1.9% to 6.1% (+221%),Institutional-source claim cleared for public review.,no,2026-04-02
E2-02,Case Studies,Unchanged,Infiltration 0.5 to 8 in/hr (+16x),Gabe Brown / NRCS,NRCS field measurements,Existing site claim carried forward into the revised register.,direct,approved,2,,Brown's Ranch,institutional,Infiltration 0.5 to 8 in/hr (+16x),Institutional-source claim cleared for public review.,no,2026-04-02
E2-03,Case Studies,Unchanged,Fertilizer from 100% to -41 to -52%,Gabe Brown / NRCS,Brown’s Ranch inputs,Existing site claim carried forward into the revised register.,direct,approved,3,,Brown's Ranch,institutional,Fertilizer from 100% to -41 to -52%,Institutional-source claim cleared for public review.,no,2026-04-02
E2-04,Case Studies,Unchanged,Fungicide/herbicide: $0 (100% cut),Gabe Brown / NRCS,Brown’s Ranch case study,Existing site claim carried forward into the revised register.,direct,approved,4,,Brown's Ranch,institutional,Fungicide/herbicide: $0 (100% cut),Institutional-source claim cleared for public review.,no,2026-04-02
E2-05,Case Studies,Unchanged,White Oak Pastures: Revenue <$1M to $20M+ (20x),"Quantis / WOP LCA, 2019",Quantis LCA 2019,Existing site claim carried forward into the revised register.,direct,approved,5,,White Oak Pastures,institutional,White Oak Pastures: Revenue <$1M to $20M+ (20x),Institutional-source claim cleared for public review.,no,2026-04-02
E2-06,Case Studies,Unchanged,Employees 14 to 150+,Will Harris / WOP,WOP public data,Existing site claim carried forward into the revised register.,direct,approved,6,,White Oak Pastures,institutional,Employees 14 to 150+,Institutional-source claim cleared for public review.,no,2026-04-02
E2-07,Case Studies,Unchanged,Input costs reduced -80%+,WOP case study,Operational data,Existing site claim carried forward into the revised register.,direct,approved,7,,White Oak Pastures,institutional,Input costs reduced -80%+,Institutional-source claim cleared for public review.,no,2026-04-02
E2-08,Case Studies,Unchanged,Carbon negative (LCA verified),Quantis LCA 2019,Quantis / WOP LCA 2019,Existing site claim carried forward into the revised register.,direct,approved,8,,White Oak Pastures,institutional,Carbon negative (LCA verified),Institutional-source claim cleared for public review.,no,2026-04-02
E2-09,Case Studies,Unchanged,Indigo Ag: 8M+ acres enrolled,Indigo Ag 2023,Platform data,Existing site claim carried forward into the revised register.,direct,approved,9,2,Platform Signals,institutional,Indigo Ag: 8M+ acres enrolled,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-10,Case Studies,Unchanged,2M+ tons CO2e credits verified,Indigo Ag 2023,Platform data,Existing site claim carried forward into the revised register.,direct,approved,10,,Platform Signals,institutional,2M+ tons CO2e credits verified,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-11,Case Studies,Unchanged,$44.4B crop insurance paid 2021–2023,USDA crop insurance data,USDA payout records,Existing site claim carried forward into the revised register.,direct,approved,11,,Risk Signals,institutional,$44.4B crop insurance paid 2021–2023,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-12,Case Studies,Unchanged,Record $19.1B paid in 2022,USDA,USDA crop insurance stats,Existing site claim carried forward into the revised register.,direct,approved,12,,Risk Signals,institutional,Record $19.1B paid in 2022,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-13,Case Studies,Unchanged,McKinsey: $250B incremental value over a decade (80% adoption),McKinsey 2024,McKinsey regenerative agriculture value analysis,Approved public row synchronized to the case-study capital-signals panel.,direct,approved,13,,Capital Signals,institutional,McKinsey: $250B incremental value over a decade (80% adoption),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-14,Case Studies,Unchanged,BCG: 130% long-term ROI on regen transitions,BCG 2023,BCG long-term ROI analysis,Approved public row synchronized to the case-study capital-signals panel.,direct,approved,14,,Capital Signals,institutional,BCG: 130% long-term ROI on regen transitions,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E2-15,Case Studies,Unchanged,USDA: $2.8B committed to Partnerships for Climate-Smart Commodities,"USDA Partnerships for Climate-Smart Commodities, 2023–2024",USDA program summary and award announcements,Approved public row synchronized to the case-study capital-signals panel.,direct,approved,15,3,Program Signals,institutional,USDA: $2.8B committed to Partnerships for Climate-Smart Commodities,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-01,Farm Financial Stress,Climate-reframed,315 Chapter 12 farm bankruptcies (2025),US Courts Chapter 12,US Courts filing statistics,Existing site claim carried forward into the revised register.,direct,approved,1,1,Farm Balance Sheet,institutional,315 Chapter 12 farm bankruptcies (2025),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-02,Farm Financial Stress,Climate-reframed,Up 127% from 2023 low,Calculated: 139 (2023) to 315,US Courts; Am Farm Bureau Fed,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,2,,Farm Balance Sheet,derived,Up 127% from 2023 low,Derived reviewer claim with explicit math anchored to the cited source values. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-03,Farm Financial Stress,Climate-reframed,$624.7B projected farm debt 2026,USDA ERS,USDA ERS farm debt projections,Existing site claim carried forward into the revised register.,direct,approved,3,2,Farm Balance Sheet,institutional,$624.7B projected farm debt 2026,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-04,Farm Financial Stress,Climate-reframed,-40% net farm income drop 2022–2024,USDA ERS,USDA ERS farm income data,Existing site claim carried forward into the revised register.,direct,approved,4,,Farm Balance Sheet,institutional,-40% net farm income drop 2022–2024,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-05,Farm Financial Stress,Climate-reframed,"140,000+ farms lost 2017–2022",USDA Census of Agriculture,USDA Census,Existing site claim carried forward into the revised register.,direct,approved,5,,Farm Balance Sheet,institutional,"140,000+ farms lost 2017–2022",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-06,Farm Financial Stress,Climate-reframed,+73% farm interest expenses above 2018,USDA ERS,High rates on leveraged operations,Existing site claim carried forward into the revised register.,direct,approved,6,,Farm Balance Sheet,institutional,+73% farm interest expenses above 2018,Institutional-source claim cleared for public review.,no,2026-04-02
E3-07,Farm Financial Stress,Climate-reframed,Billion-dollar disasters 1980s: 3.3/yr (82 days),NOAA,NOAA Billion-Dollar Disasters,Existing site claim carried forward into the revised register.,direct,approved,7,,Disaster Tempo,institutional,Billion-dollar disasters 1980s: 3.3/yr (82 days),Institutional-source claim cleared for public review.,no,2026-04-02
E3-08,Farm Financial Stress,Climate-reframed,1990s: 5.5/yr (52 days),NOAA,NOAA Billion-Dollar Disasters,Existing site claim carried forward into the revised register.,direct,approved,8,,Disaster Tempo,institutional,1990s: 5.5/yr (52 days),Institutional-source claim cleared for public review.,no,2026-04-02
E3-09,Farm Financial Stress,Climate-reframed,2000s: 6.7/yr (35 days),NOAA,NOAA Billion-Dollar Disasters,Existing site claim carried forward into the revised register.,direct,approved,9,,Disaster Tempo,institutional,2000s: 6.7/yr (35 days),Institutional-source claim cleared for public review.,no,2026-04-02
E3-10,Farm Financial Stress,Climate-reframed,2010s: 13.1/yr (24 days),NOAA,NOAA Billion-Dollar Disasters,Existing site claim carried forward into the revised register.,direct,approved,10,,Disaster Tempo,institutional,2010s: 13.1/yr (24 days),Institutional-source claim cleared for public review.,no,2026-04-02
E3-11,Farm Financial Stress,Climate-reframed,2020–24: 23/yr (18 days),NOAA,NOAA Billion-Dollar Disasters,Existing site claim carried forward into the revised register.,direct,approved,11,,Disaster Tempo,institutional,2020–24: 23/yr (18 days),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E3-12,Farm Financial Stress,Climate-reframed,$320B total climate disaster losses 2024,Munich Re 2024,munichre.com,Existing site claim carried forward into the revised register.,direct,approved,12,3,Disaster Tempo,institutional,$320B total climate disaster losses 2024,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-01,Climate & Yields,Climate-reframed,"Wheat yield: -5.5% (observed, warming)","Lobell et al., 2011, Science",DOI: 10.1126/science.1204531,Existing site claim carried forward into the revised register.,direct,approved,1,1,Observed Yield Losses,primary,"Wheat yield: -5.5% (observed, warming)",Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-02,Climate & Yields,Climate-reframed,"Maize yield: -3.8% (observed, warming)","Lobell et al., 2011",DOI: 10.1126/science.1204531,Existing site claim carried forward into the revised register.,direct,approved,2,2,Observed Yield Losses,primary,"Maize yield: -3.8% (observed, warming)",Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-03,Climate & Yields,Climate-reframed,Drought: Regen 131 vs Conventional 100 (Rodale),Rodale FST 30-year,rodaleinstitute.org,Existing site claim carried forward into the revised register.,direct,approved,3,3,Resilience Signal,institutional,Drought: Regen 131 vs Conventional 100 (Rodale),Institutional-source claim cleared for public review.,no,2026-04-02
E4-04,Climate & Yields,Climate-reframed,28–34% higher yields during drought,Rodale FST,Organic corn drought data,Existing site claim carried forward into the revised register.,direct,approved,4,,Resilience Signal,institutional,28–34% higher yields during drought,Institutional-source claim cleared for public review.,no,2026-04-02
E4-05,Climate & Yields,Climate-reframed,"Cocoa: $12,931/ton (from ~$2,500)",2024 commodity data,West Africa crop failure,Existing site claim carried forward into the revised register.,direct,approved,5,,Current Market Shock,institutional,"Cocoa: $12,931/ton (from ~$2,500)",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-06,Climate & Yields,Climate-reframed,40%+ yield variation from weather extremes,Edison Institute 2024,Edison Institute crop variance research,Existing site claim carried forward into the revised register.,direct,approved,6,,Current Market Shock,institutional,40%+ yield variation from weather extremes,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-07,Climate & Yields,Climate-reframed,$320B climate disaster losses 2024,Munich Re 2024,munichre.com,Existing site claim carried forward into the revised register.,direct,approved,7,,Current Market Shock,institutional,$320B climate disaster losses 2024,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-08,Climate & Yields,Climate-reframed,-24% maize yield by late century,NASA,NASA climate crop modeling,Existing site claim carried forward into the revised register.,direct,approved,8,,Future Pressure,institutional,-24% maize yield by late century,Institutional-source claim cleared for public review.,no,2026-04-02
E4-09,Climate & Yields,Climate-reframed,+129% cereal price increase by 2050,IPCC,IPCC crop/price projections,Existing site claim carried forward into the revised register.,direct,approved,9,,Future Pressure,institutional,+129% cereal price increase by 2050,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-10,Climate & Yields,Climate-reframed,1.4–1.8 pts food inflation/yr by 2035 (N. America),"Kotz et al., 2023",Kotz et al. 2023,Existing site claim carried forward into the revised register.,direct,approved,10,,Future Pressure,institutional,1.4–1.8 pts food inflation/yr by 2035 (N. America),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
E4-11,Climate & Yields,Climate-reframed,Every 1°C = $54T kilocalories lost,"Hultgren et al., 2025, Nature",~120 kcal/person/day/degree,Existing site claim carried forward into the revised register.,direct,approved,11,,Future Pressure,primary,Every 1°C = $54T kilocalories lost,Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W1-01,Soil & Water,Climate-reframed,"20,000 gal/acre per 1% SOM increase",USDA-NRCS,USDA-NRCS SOM water data,Existing site claim carried forward into the revised register.,direct,approved,1,1,,institutional,"20,000 gal/acre per 1% SOM increase",Institutional-source claim cleared for public review.,no,2026-04-02
W1-02,Soil & Water,Climate-reframed,"Plant-available water: 3,400–10,000 gal/ac (Hudson 1994)",Hudson 1994 (Soil Sci. Am. J.),Hudson 1994,Existing site claim carried forward into the revised register.,direct,approved,2,2,,institutional,"Plant-available water: 3,400–10,000 gal/ac (Hudson 1994)",Institutional-source claim cleared for public review.,no,2026-04-02
W1-03,Soil & Water,Climate-reframed,4% SOM holds 2x water of 1% SOM,Hudson 1994,Hudson 1994,Existing site claim carried forward into the revised register.,direct,approved,3,,,institutional,4% SOM holds 2x water of 1% SOM,Institutional-source claim cleared for public review.,no,2026-04-02
W1-04,Soil & Water,Climate-reframed,Infiltration: Perennial +60%,"Basche & DeLonge 2019, PLOS ONE (89 studies)",DOI: 10.1371/journal.pone.0215702,Existing site claim carried forward into the revised register.,direct,approved,4,3,,primary,Infiltration: Perennial +60%,Primary-source claim cleared for public review.,no,2026-04-02
W1-05,Soil & Water,Climate-reframed,Cover crops +35%,Basche & DeLonge 2019,DOI: 10.1371/journal.pone.0215702,Existing site claim carried forward into the revised register.,direct,approved,5,,,primary,Cover crops +35%,Primary-source claim cleared for public review.,no,2026-04-02
W1-06,Soil & Water,Climate-reframed,No-till +45%,Basche & DeLonge 2019,DOI: 10.1371/journal.pone.0215702,Existing site claim carried forward into the revised register.,direct,approved,6,,,primary,No-till +45%,Primary-source claim cleared for public review.,no,2026-04-02
W1-07,Soil & Water,Climate-reframed,94% erosion reduction: cover crops vs bare soil,Cover crop studies,USDA-NRCS field data,Existing site claim carried forward into the revised register.,direct,approved,7,,,institutional,94% erosion reduction: cover crops vs bare soil,Institutional-source claim cleared for public review.,no,2026-04-02
W1-08,Soil & Water,Climate-reframed,90% runoff reduction (best-case cover crop),Cover crop research,Basche & DeLonge meta-analysis,Existing site claim carried forward into the revised register.,direct,approved,8,,,institutional,90% runoff reduction (best-case cover crop),Institutional-source claim cleared for public review.,no,2026-04-02
W1-09,Soil & Water,Climate-reframed,70% soil loss reduction from ground cover,IBS studies,Institutional field data,Existing site claim carried forward into the revised register.,direct,approved,9,,,institutional,70% soil loss reduction from ground cover,Institutional-source claim cleared for public review.,no,2026-04-02
W1-10,Soil & Water,Climate-reframed,1% SOM=20K gal; 2%=40K (+100%); 4%=80K (+300%),Hudson 1994; USDA-NRCS,Hudson 1994 data,Existing site claim carried forward into the revised register.,direct,approved,10,,,institutional,1% SOM=20K gal; 2%=40K (+100%); 4%=80K (+300%),Institutional-source claim cleared for public review.,no,2026-04-02
W1-11,Soil & Water,Climate-reframed,Brown’s Ranch: 0.5 to 8 in/hr (16x),Gabe Brown / NRCS,Brown’s Ranch case; NRCS,Existing site claim carried forward into the revised register.,direct,approved,11,,,institutional,Brown’s Ranch: 0.5 to 8 in/hr (16x),Institutional-source claim cleared for public review.,no,2026-04-02
W1-12,Soil & Water,Climate-reframed,2T gallons/yr if 1% SOM across 100M US acres,Calculated: 20K gal × 100M,Equiv. 3M Olympic pools,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,12,,,derived,2T gallons/yr if 1% SOM across 100M US acres,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
W1-N01,Soil & Water,New climate-support,"Each 1°C of warming allows the atmosphere to hold about 7% more water vapor, intensifying both rainfall extremes and drought between them.",Clausius-Clapeyron relationship; WMO State of Global Water Resources 2024,"See supplied soil-climate evidence report, Water pillar, p. 8",Approved climate-mechanism claim supporting the water-pillar reframing.,direct,approved,13,,,institutional,"Each 1°C of warming allows the atmosphere to hold about 7% more water vapor, intensifying both rainfall extremes and drought between them.",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-01,Aquifer Crisis,Climate-reframed,Ogallala: -16.5 ft (1950–2019),USGS 2024,USGS Groundwater Reports,Existing site claim carried forward into the revised register.,direct,approved,1,1,,institutional,Ogallala: -16.5 ft (1950–2019),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-02,Aquifer Crisis,Climate-reframed,Depletion 3–50x faster than recharge,USGS,Recharge ~0.024 in/yr vs pumping ~3 ft/yr,Existing site claim carried forward into the revised register.,direct,approved,2,2,,institutional,Depletion 3–50x faster than recharge,Institutional-source claim cleared for public review.,no,2026-04-02
W2-03,Aquifer Crisis,Climate-reframed,"6,000+ years to replenish naturally",USGS,USGS Groundwater Reports,Existing site claim carried forward into the revised register.,direct,approved,3,3,,institutional,"6,000+ years to replenish naturally",Institutional-source claim cleared for public review.,no,2026-04-02
W2-04,Aquifer Crisis,Climate-reframed,Central Valley subsidence: -7.2 ft (2015–2025),Stanford 2024,Stanford subsidence research,Existing site claim carried forward into the revised register.,direct,approved,4,,,institutional,Central Valley subsidence: -7.2 ft (2015–2025),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-05,Aquifer Crisis,Climate-reframed,286M acre-feet Ogallala lost since ~1950,USGS,USGS Groundwater Reports,Existing site claim carried forward into the revised register.,direct,approved,5,,,institutional,286M acre-feet Ogallala lost since ~1950,Institutional-source claim cleared for public review.,no,2026-04-02
W2-06,Aquifer Crisis,Climate-reframed,28 ft max Central Valley subsidence since 1920s,Historical records,USGS / DWR data,Existing site claim carried forward into the revised register.,direct,approved,6,,,institutional,28 ft max Central Valley subsidence since 1920s,Institutional-source claim cleared for public review.,no,2026-04-02
W2-07,Aquifer Crisis,Climate-reframed,60% Friant-Kern Canal capacity lost,Stanford Water in the West 2024,Stanford CV subsidence,Existing site claim carried forward into the revised register.,direct,approved,7,,,institutional,60% Friant-Kern Canal capacity lost,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-08,Aquifer Crisis,Climate-reframed,2M AC-FT annual CV groundwater overdraft,PPIC,PPIC Groundwater in CA 2024,Existing site claim carried forward into the revised register.,direct,approved,8,,,institutional,2M AC-FT annual CV groundwater overdraft,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-09,Aquifer Crisis,Climate-reframed,-1.52 ft Kansas aquifer decline (Jan 24–Jan 25),USGS,USGS 2024,Existing site claim carried forward into the revised register.,direct,approved,9,,,institutional,-1.52 ft Kansas aquifer decline (Jan 24–Jan 25),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-10,Aquifer Crisis,Climate-reframed,CA State Water Project: 87% decline by 2043,CA State Water Project 2025,87% delivery loss warning,Existing site claim carried forward into the revised register.,direct,approved,10,,,institutional,CA State Water Project: 87% decline by 2043,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W2-N01,Aquifer Crisis,New climate-support,Climate change accelerates aquifer depletion by increasing crop water demand while reducing snowpack recharge.,Ogallala / Sierra snowpack synthesis in supplied soil-climate evidence report,"See supplied soil-climate evidence report, Water pillar, pp. 7-8",Approved interpretive synthesis used to make the climate causal chain explicit.,interpretation,approved,11,,,interpretive,Climate change accelerates aquifer depletion by increasing crop water demand while reducing snowpack recharge.,Interpretive reviewer framing grounded in the cited evidence base.,no,2026-04-02
W3-01,Central Valley,Climate-reframed,1% of US farmland,USDA,USDA farmland statistics,Existing site claim carried forward into the revised register.,direct,approved,1,1,Food System Concentration,institutional,1% of US farmland,Institutional-source claim cleared for public review.,no,2026-04-02
W3-02,Central Valley,Climate-reframed,25% of US food supply,CA agricultural data,USDA / CDFA,Existing site claim carried forward into the revised register.,direct,approved,2,2,Food System Concentration,institutional,25% of US food supply,Institutional-source claim cleared for public review.,no,2026-04-02
W3-03,Central Valley,Climate-reframed,40% of all US fruits & nuts,CA production data,"Almonds, pistachios, grapes",Existing site claim carried forward into the revised register.,direct,approved,3,3,Food System Concentration,institutional,40% of all US fruits & nuts,Institutional-source claim cleared for public review.,no,2026-04-02
W3-04,Central Valley,Climate-reframed,$50B agricultural industry,CA economic output,CA Farm Water Coalition / CDFA,Existing site claim carried forward into the revised register.,direct,approved,4,,Food System Concentration,institutional,$50B agricultural industry,Institutional-source claim cleared for public review.,no,2026-04-02
W3-05,Central Valley,Climate-reframed,Kern County: $132M to $27M = -80% revenue (2023–24),Kern County crop data,CA Farm Water Coalition,Existing site claim carried forward into the revised register.,direct,approved,5,,Local Economic Impacts,institutional,Kern County: $132M to $27M = -80% revenue (2023–24),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W3-06,Central Valley,Climate-reframed,"17,000 acres permanently removed (2024, SGMA)",SGMA compliance data,First industrial-scale forced fallowing,Existing site claim carried forward into the revised register.,direct,approved,6,,Local Economic Impacts,institutional,"17,000 acres permanently removed (2024, SGMA)",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W3-07,Central Valley,Climate-reframed,"Tulare Lake: 111K acres, $900M–$2B losses",2023 refilling event,Subsidence-damaged drainage,Existing site claim carried forward into the revised register.,direct,approved,7,,Local Economic Impacts,institutional,"Tulare Lake: 111K acres, $900M–$2B losses",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W3-08,Central Valley,Climate-reframed,Land values: -75% in fallowing zones,Farmland valuation,"No water, no crops, collapsing assets",Existing site claim carried forward into the revised register.,direct,approved,8,,Local Economic Impacts,institutional,Land values: -75% in fallowing zones,Institutional-source claim cleared for public review.,no,2026-04-02
W3-09,Central Valley,Climate-reframed,"Almonds: 640K to 1,640K acres (+156%)",CA almond data,USDA / Almond Board,Existing site claim carried forward into the revised register.,direct,approved,9,,Crop Intensity,institutional,"Almonds: 640K to 1,640K acres (+156%)",Institutional-source claim cleared for public review.,no,2026-04-02
W3-10,Central Valley,Climate-reframed,12 liters water per single almond,Water footprint research,4.7–5.5M ac-ft/yr consumed,Existing site claim carried forward into the revised register.,direct,approved,10,,Crop Intensity,institutional,12 liters water per single almond,Institutional-source claim cleared for public review.,no,2026-04-02
W3-11,Central Valley,Climate-reframed,"Friant-Kern repair: $325M for 10 miles, 74% over budget",Bureau of Reclamation / DWR,Canal lost 60% delivery capacity,Existing site claim carried forward into the revised register.,direct,approved,11,,Infrastructure Stress,institutional,"Friant-Kern repair: $325M for 10 miles, 74% over budget",Institutional-source claim cleared for public review.,no,2026-04-02
W3-N01,Central Valley,New climate-support,"Central Valley water stress is a climate-driven chain: warming reduces snowpack, lower deliveries increase pumping, and pumping deepens subsidence.",California snowpack and groundwater synthesis in supplied soil-climate evidence report,"See supplied soil-climate evidence report, Water pillar, pp. 7-8",Approved interpretive synthesis used to make the climate causal chain explicit.,interpretation,approved,12,,Climate Chain,interpretive,"Central Valley water stress is a climate-driven chain: warming reduces snowpack, lower deliveries increase pumping, and pumping deepens subsidence.",Interpretive reviewer framing grounded in the cited evidence base.,no,2026-04-02
W4-01,SGMA & Fallowing,Climate-reframed,21 critically overdrafted basins under SGMA,SGMA / CA DWR,DWR basin designations,Existing site claim carried forward into the revised register.,direct,approved,1,,Policy Mandate,institutional,21 critically overdrafted basins under SGMA,Institutional-source claim cleared for public review.,no,2026-04-02
W4-02,SGMA & Fallowing,Climate-reframed,2040 sustainability deadline,SGMA legislation,CA SGMA law,Existing site claim carried forward into the revised register.,direct,approved,2,,Policy Mandate,institutional,2040 sustainability deadline,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W4-03,SGMA & Fallowing,Climate-reframed,2M AC-FT annual overdraft to eliminate,PPIC,PPIC Groundwater in CA 2024,Existing site claim carried forward into the revised register.,direct,approved,3,,Policy Mandate,institutional,2M AC-FT annual overdraft to eliminate,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W4-04,SGMA & Fallowing,Climate-reframed,500K–1M acres permanently retired by 2040,PPIC projection,PPIC fallowing projections,Existing site claim carried forward into the revised register.,direct,approved,4,1,Retirement Risk,institutional,500K–1M acres permanently retired by 2040,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W4-05,SGMA & Fallowing,Climate-reframed,5–10% of total CV farmland,Calculated from CV acreage,~5–10M total acres,Derived / calculated claim. Keep the source numbers and the math visible together.,derived,approved,5,,Retirement Risk,derived,5–10% of total CV farmland,Derived reviewer claim with explicit math anchored to the cited source values.,no,2026-04-02
W4-06,SGMA & Fallowing,Climate-reframed,"67,000 jobs destroyed (UC Davis worst-case)",UC Davis Economic Analysis 2023,UC Davis SGMA job loss estimates,Existing site claim carried forward into the revised register.,direct,approved,6,2,Retirement Risk,institutional,"67,000 jobs destroyed (UC Davis worst-case)",Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W4-07,SGMA & Fallowing,Climate-reframed,$2.5B/yr revenue loss from fallowed land,Economic impact estimates,Per-acre revenue × fallowed acreage,Existing site claim carried forward into the revised register.,direct,approved,7,,Retirement Risk,institutional,$2.5B/yr revenue loss from fallowed land,Institutional-source claim cleared for public review.,no,2026-04-02
W4-08,SGMA & Fallowing,Climate-reframed,"Each 1% SOM gain adds roughly 20,000 gal/ac of water-holding capacity",USDA-NRCS,Cross-ref Soil & Water section,Approved public row synchronized to the SGMA wording now used on the site.,direct,approved,8,3,Retention Alternative,institutional,"Each 1% SOM gain adds roughly 20,000 gal/ac of water-holding capacity",Institutional-source claim cleared for public review.,no,2026-04-02
W5-01,Global Scarcity,Climate-reframed,70% global ag share of freshwater use,FAO / World Water Resources,FAO global demand modeling,Existing site claim carried forward into the revised register.,direct,approved,1,1,Freshwater Demand,institutional,70% global ag share of freshwater use,Institutional-source claim cleared for public review.,no,2026-04-02
W5-02,Global Scarcity,Climate-reframed,92% food water footprint from farming,Water footprint research,FAO / WMO,Existing site claim carried forward into the revised register.,direct,approved,2,,Freshwater Demand,institutional,92% food water footprint from farming,Institutional-source claim cleared for public review.,no,2026-04-02
